PlayerID,Player,Pick,DraftYear,3P%_Y1,3P%_Y2,3P%_Y3,AST_Y1,AST_Y2,AST_Y3,AST%_Y1,AST%_Y2,AST%_Y3,BLK_Y1,BLK_Y2,BLK_Y3,BLK%_Y1,BLK%_Y2,BLK%_Y3,BPM_Y1,BPM_Y2,BPM_Y3,FG%_Y1,FG%_Y2,FG%_Y3,FT%_Y1,FT%_Y2,FT%_Y3,MP_pg_Y1,MP_pg_Y2,MP_pg_Y3,PER_Y1,PER_Y2,PER_Y3,PTS_Y1,PTS_Y2,PTS_Y3,STL_Y1,STL_Y2,STL_Y3,STL%_Y1,STL%_Y2,STL%_Y3,TOV_Y1,TOV_Y2,TOV_Y3,TRB_Y1,TRB_Y2,TRB_Y3,TRB%_Y1,TRB%_Y2,TRB%_Y3,TS%_Y1,TS%_Y2,TS%_Y3,USG%_Y1,USG%_Y2,USG%_Y3,VORP_Y1,VORP_Y2,VORP_Y3,WS_Y1,WS_Y2,WS_Y3,WS/48_Y1,WS/48_Y2,WS/48_Y3,eFG%_Y1,eFG%_Y2,eFG%_Y3,PTS_jump_1_2,PTS_jump_2_3,PER_jump_1_2,PER_jump_2_3,BPM_jump_1_2,BPM_jump_2_3,WS_jump_1_2,WS_jump_2_3,USG%_jump_1_2,USG%_jump_2_3,AST_jump_1_2,AST_jump_2_3,TRB_jump_1_2,TRB_jump_2_3,name_clean_x,name,player_id,max_salary_year,PeakSalary,PeakSalaryPercent,StarContract,name_clean_y
Charles O'Bannon_1997,Charles O'Bannon,32,1997,0.0,0.0,,0.6,0.7,,12.0,13.4,,0.0,0.2,,0.3,1.5,,-2.1,-2.0,,0.377,0.429,,0.8,1.0,,7.8,9.2,,10.5,13.3,,2.1,3.1,,0.3,0.1,,2.1,0.7,,0.3,0.4,,1.1,1.9,,8.4,12.6,,0.423,0.47,,16.8,19.4,,0.0,0.0,,0.2,0.3,,0.048,0.1,,0.377,0.429,,1.0,,2.8000000000000007,,0.10000000000000009,,0.09999999999999998,,2.599999999999998,,0.09999999999999998,,0.7999999999999998,,charles obannon,Charles O'Bannon,obannch01,1998.0,320000.0,0.010666666666666666,0.0,charles obannon
Charles Smith_1997,Charles Smith,26,1997,0.319,0.212,,0.6,0.6,,12.6,6.9,,0.2,0.6,,1.4,3.3,,-5.1,-4.1,,0.392,0.361,,0.545,0.438,,8.6,13.8,,9.8,7.1,,3.5,3.7,,0.4,0.7,,2.2,2.9,,0.8,0.9,,0.8,1.0,,5.3,4.5,,0.458,0.404,,24.0,17.8,,-0.2,-0.2,,-0.3,-0.5,,-0.057,-0.069,,0.452,0.397,,0.20000000000000018,,-2.700000000000001,,1.0,,-0.2,,-6.199999999999999,,0.0,,0.19999999999999996,,charles smith,Charles Smith,smithch04,2000.0,779960.0,0.021970704225352113,0.0,charles smith
Charlie Villanueva_2005,Charlie Villanueva,7,2005,0.327,0.337,0.297,1.1,0.9,1.0,6.5,6.1,7.5,0.8,0.3,0.5,2.1,0.9,1.5,-0.9,-1.4,-2.8,0.463,0.47,0.435,0.706,0.82,0.783,29.1,25.2,24.1,16.4,15.8,14.9,13.0,11.8,11.7,0.7,0.6,0.4,1.3,1.3,0.9,1.2,1.4,1.4,6.4,5.8,6.1,13.5,13.6,15.0,0.521,0.547,0.502,21.7,21.8,24.4,0.6,0.2,-0.3,3.9,1.7,1.7,0.079,0.085,0.045,0.5,0.508,0.469,-1.1999999999999993,-0.10000000000000142,-0.5999999999999979,-0.9000000000000004,-0.4999999999999999,-1.4,-2.2,0.0,0.10000000000000142,2.599999999999998,-0.20000000000000007,0.09999999999999998,-0.6000000000000005,0.2999999999999998,charlie villanueva,Charlie Villanueva,villach01,2014.0,8580000.0,0.13605010703242687,0.0,charlie villanueva
Charlie Ward_1994,Charlie Ward,26,1994,0.1,0.333,0.312,0.4,2.1,4.1,13.7,25.9,28.4,0.0,0.1,0.2,0.0,0.6,0.7,-15.0,0.0,0.4,0.211,0.399,0.395,0.7,0.685,0.76,4.4,12.7,22.3,-2.1,12.0,11.1,1.6,3.9,5.2,0.2,0.9,1.1,2.4,3.6,2.5,0.8,1.3,1.9,0.6,1.6,2.8,8.0,7.7,7.5,0.342,0.505,0.522,32.7,19.0,14.1,-0.1,0.4,1.1,-0.2,1.0,3.6,-0.258,0.064,0.099,0.237,0.475,0.466,2.3,1.3000000000000003,14.1,-0.9000000000000004,15.0,0.4,1.2,2.6,-13.700000000000003,-4.9,1.7000000000000002,1.9999999999999996,1.0,1.1999999999999997,charlie ward,Charlie Ward,wardch01,2004.0,6030000.0,0.13745156143150217,0.0,charlie ward
Chase Budinger_2009,Chase Budinger,44,2009,0.369,0.325,0.402,1.2,1.6,1.3,9.7,11.5,9.3,0.1,0.2,0.1,0.5,0.7,0.4,0.5,-0.2,1.2,0.441,0.425,0.442,0.77,0.855,0.771,20.1,22.3,22.4,14.1,14.2,14.9,8.9,9.8,9.6,0.5,0.5,0.5,1.2,1.2,1.2,0.6,0.9,0.9,3.0,3.6,3.7,8.5,9.2,9.7,0.545,0.534,0.556,19.4,19.9,19.5,0.9,0.8,1.0,3.1,3.4,3.0,0.1,0.095,0.111,0.522,0.493,0.535,0.9000000000000004,-0.20000000000000107,0.09999999999999964,0.7000000000000011,-0.7,1.4,0.2999999999999998,-0.3999999999999999,0.5,-0.3999999999999986,0.40000000000000013,-0.30000000000000004,0.6000000000000001,0.10000000000000009,chase budinger,Chase Budinger,budinch01,2016.0,5000000.0,0.05311069330699043,0.0,chase budinger
Chauncey Billups_1997,Chauncey Billups,3,1997,0.329,0.362,0.171,3.9,3.8,3.0,22.6,20.4,19.4,0.1,0.3,0.2,0.1,0.7,0.4,-1.2,-0.6,-2.6,0.374,0.386,0.337,0.85,0.913,0.841,27.7,33.1,23.5,13.6,15.1,10.5,11.2,13.9,8.6,1.3,1.3,0.8,2.5,2.1,1.7,2.2,2.2,1.8,2.4,2.1,2.6,5.0,3.7,6.1,0.516,0.547,0.465,20.4,20.3,20.6,0.5,0.5,0.0,3.0,2.3,0.1,0.065,0.075,0.023,0.445,0.472,0.371,2.700000000000001,-5.300000000000001,1.5,-4.6,0.6,-2.0,-0.7000000000000002,-2.1999999999999997,-0.09999999999999787,0.3000000000000007,-0.10000000000000009,-0.7999999999999998,-0.2999999999999998,0.5,chauncey billups,Chauncey Billups,billuch01,2011.0,13150000.0,0.2265522706911998,1.0,chauncey billups
Cherokee Parks_1995,Cherokee Parks,12,1995,0.269,0.0,0.0,0.5,0.4,0.7,5.0,5.6,4.7,0.5,0.6,1.1,2.6,3.8,3.6,-3.9,-1.1,-2.3,0.409,0.51,0.499,0.661,0.605,0.651,13.6,12.6,21.6,10.9,12.7,13.6,3.9,3.3,7.1,0.4,0.5,0.5,1.4,2.3,1.1,0.5,0.4,0.8,3.4,2.6,5.5,13.0,12.0,14.6,0.456,0.535,0.533,14.6,12.7,15.4,-0.4,0.2,-0.1,0.9,2.2,3.8,0.05,0.112,0.108,0.423,0.51,0.499,-0.6000000000000001,3.8,1.799999999999999,0.9000000000000004,2.8,-1.1999999999999997,1.3000000000000003,1.5999999999999996,-1.9000000000000004,2.700000000000001,-0.09999999999999998,0.29999999999999993,-0.7999999999999998,2.9,cherokee parks,Cherokee Parks,parksch02,2001.0,2100000.0,0.04941176470588235,0.0,cherokee parks
Chris Anstey_1997,Chris Anstey,18,1997,0.188,0.0,0.167,0.9,0.7,0.9,8.7,9.3,13.2,0.7,0.3,0.3,2.8,2.0,1.8,-2.8,-4.4,-2.3,0.398,0.36,0.442,0.716,0.708,0.789,16.6,11.5,13.8,13.2,9.2,15.1,5.9,3.3,6.0,0.8,0.4,0.4,2.4,2.1,1.5,1.0,0.6,1.1,3.8,2.4,3.8,12.8,11.6,16.3,0.455,0.418,0.512,20.5,18.2,23.1,-0.1,-0.3,-0.1,0.6,0.3,1.9,0.044,0.027,0.09,0.405,0.36,0.444,-2.6000000000000005,2.7,-4.0,5.9,-1.6000000000000005,2.1000000000000005,-0.3,1.5999999999999999,-2.3000000000000007,4.900000000000002,-0.20000000000000007,0.20000000000000007,-1.4,1.4,chris anstey,Chris Anstey,anstech01,2000.0,1113720.0,0.03137239436619718,0.0,chris anstey
Chris Bosh_2003,Chris Bosh,4,2003,0.357,0.3,0.0,1.0,1.9,2.6,5.8,8.6,11.8,1.4,1.4,1.1,3.1,2.7,2.3,-0.8,-0.2,2.9,0.459,0.471,0.505,0.701,0.76,0.816,33.5,37.2,39.3,15.1,17.5,23.2,11.5,16.8,22.5,0.8,0.9,0.7,1.3,1.3,1.0,1.4,2.3,2.2,7.4,8.9,9.2,12.8,13.5,14.4,0.513,0.547,0.585,18.3,21.7,25.2,0.8,1.4,3.4,6.2,6.8,9.8,0.119,0.108,0.17,0.463,0.472,0.505,5.300000000000001,5.699999999999999,2.4000000000000004,5.699999999999999,0.6000000000000001,3.1,0.5999999999999996,3.000000000000001,3.3999999999999986,3.5,0.8999999999999999,0.7000000000000002,1.5,0.29999999999999893,chris bosh,Chris Bosh,boshch01,2019.0,26837720.0,0.24590177753344328,1.0,chris bosh
Chris Carr_1995,Chris Carr,56,1995,0.262,0.352,0.315,0.7,0.9,1.7,11.4,9.8,11.6,0.1,0.2,0.2,0.6,0.9,0.7,-5.2,-0.9,-3.1,0.415,0.461,0.42,0.817,0.767,0.848,9.8,15.1,22.8,10.5,13.3,11.6,4.0,6.1,9.9,0.2,0.4,0.3,0.9,1.5,0.8,0.7,0.7,1.4,1.7,2.1,3.0,10.0,8.0,7.6,0.493,0.556,0.509,21.4,18.8,21.5,-0.5,0.2,-0.3,0.3,1.7,1.1,0.021,0.096,0.046,0.44,0.518,0.465,2.0999999999999996,3.8000000000000007,2.8000000000000007,-1.700000000000001,4.3,-2.2,1.4,-0.5999999999999999,-2.599999999999998,2.6999999999999993,0.20000000000000007,0.7999999999999999,0.40000000000000013,0.8999999999999999,chris carr,Chris Carr,carrch01,2001.0,1200000.0,0.02823529411764706,0.0,chris carr
