Model,MAE,RMSE,R²,Dir. Acc (%),MAPE (%)
Lasso Regression,0.032607637822612376,0.04304508649542041,0.4204945657293446,76.92307692307693,129.03972741563902
XGBoost,0.035849174127161806,0.04679721876537174,0.31506331225985973,75.0,125.82770964073188
Random Forest,0.035965444289352354,0.04703371200070343,0.3081230626518031,78.84615384615384,142.4316560195467
Linear Regression (Crude Only),0.03990842644320523,0.05182886057336581,0.15985612471077892,63.46153846153846,104.87402100560278
Ridge Regression,0.040204469854316444,0.0490943552836321,0.2461699156920656,69.23076923076923,174.2571545045092
Naive Baseline (No Change),0.045846153846153835,0.05662460731736826,-0.00281483441796726,57.692307692307686,100.0
Multiple Linear Regression,0.04598973774950807,0.0572536070135695,-0.025217589318913713,63.46153846153846,204.08486929934284
