STATE,YEAR,WIND_PERCENT,SOLAR_PERCENT,WIND_SOLAR_PERCENT
MS,2020,0.0,0.66,0.66
MS,2021,0.0,0.64,0.64
MS,2022,0.0,0.77,0.77
MS,2023,0.0,0.87,0.87
MT,2018,7.65,0.12,7.77
MT,2019,8.72,0.11,8.82
MT,2020,13.26,0.14,13.4
MT,2021,13.92,0.14,14.06
MT,2022,14.72,0.12,14.84
MT,2023,16.77,0.92,17.69
NC,2018,0.42,4.59,5.01
NC,2019,0.42,5.72,6.14
NC,2020,0.46,6.79,7.25
NC,2021,0.41,7.87,8.28
NC,2022,0.42,8.64,9.07
NC,2023,0.44,9.17,9.61
ND,2018,25.19,0.0,25.19
ND,2019,27.42,0.0,27.42
ND,2020,32.48,0.0,32.48
ND,2021,34.76,0.0,34.76
ND,2022,36.85,0.0,36.85
ND,2023,34.46,0.0,34.46
NE,2018,15.14,0.07,15.21
NE,2019,19.6,0.09,19.69
NE,2020,25.15,0.15,25.29
NE,2021,25.94,0.16,26.1
NE,2022,31.82,0.18,32.0
NE,2023,30.47,0.2,30.67
NH,2018,2.57,0.0,2.57
NH,2019,2.45,0.0,2.45
NH,2020,3.55,0.03,3.58
NH,2021,3.1,0.02,3.12
NH,2022,2.63,0.02,2.65
NH,2023,2.63,0.02,2.66
NJ,2018,0.03,1.31,1.34
NJ,2019,0.03,1.65,1.68
NJ,2020,0.04,2.15,2.19
NJ,2021,0.03,2.25,2.29
NJ,2022,0.04,2.35,2.38
NJ,2023,0.03,2.41,2.44
NM,2018,19.52,4.17,23.69
NM,2019,20.02,3.93,23.95
NM,2020,21.69,5.19,26.88
NM,2021,30.43,5.09,35.51
NM,2022,35.43,4.87,40.3
NM,2023,38.49,6.78,45.27
NV,2018,0.83,11.9,12.73
NV,2019,0.85,12.07,12.92
NV,2020,0.83,13.67,14.51
NV,2021,0.85,15.65,16.5
NV,2022,0.76,21.22,21.98
NV,2023,0.71,22.93,23.64
NY,2018,3.09,0.22,3.32
NY,2019,3.48,0.4,3.88
NY,2020,3.59,0.66,4.25
NY,2021,3.39,0.93,4.32
NY,2022,3.74,1.43,5.18
NY,2023,3.97,1.82,5.79
OH,2018,1.39,0.1,1.49
OH,2019,1.73,0.12,1.85
OH,2020,1.93,0.14,2.07
OH,2021,2.1,0.53,2.63
OH,2022,2.41,0.69,3.09
OH,2023,2.2,1.02,3.23
OK,2018,32.58,0.07,32.65
OK,2019,34.86,0.07,34.93
OK,2020,36.84,0.08,36.91
OK,2021,41.33,0.09,41.43
OK,2022,45.62,0.1,45.71
OK,2023,42.78,0.09,42.87
OR,2018,11.59,0.91,12.49
OR,2019,10.66,1.09,11.76
OR,2020,13.83,1.73,15.56
OR,2021,15.51,2.47,17.98
OR,2022,13.58,2.69,16.27
OR,2023,14.51,3.12,17.62
PA,2018,1.69,0.03,1.71
PA,2019,1.45,0.04,1.48
PA,2020,1.69,0.06,1.76
PA,2021,1.47,0.09,1.56
PA,2022,1.52,0.1,1.62
PA,2023,1.41,0.15,1.56
RI,2018,2.17,0.37,2.53
